Brand,id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,coordinates
1,1.31E+18,Tue Sep 15 02:36:52 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @bhuvnesh_bagri: Samsung Electronics launches 'Galaxy Watch 3' titanium model on the 18th September. 🤩
Source : https://t.co/sGv3nV70nF…",Samsung Electronics launches 'Galaxy Watch titanium model th September Source,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,3,TechMatter2,FALSE,,bhuvnesh_bagri,"New Delhi, India",
1,1.31E+18,Tue Sep 15 02:35:53 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Poorvika_Mobile: Unlock Infinite Possibilities with the stunning Dynamic AMOLED 2X folding display on the #GalaxyZFold2.
.
Book Now: ht…",Unlock Infinite Possibilities stunning Dynamic AMOLED X folding display .. Book Now ht,"Sentiment(polarity=0.25, subjectivity=0.5833333333333334)",0.25,0.583333333,en,0,246,Sridhar61941395,,GalaxyZFold2,Poorvika_Mobile,,
1,1.31E+18,Tue Sep 15 02:35:33 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Samsung: Here comes the #GalaxyUnpacked event dedicated to the #SamsungGalaxy fans around the world https://t.co/TzDq26DXjJ https://t.c…,Here comes event dedicated fans around world,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,287,AshokSh41199079,FALSE,"GalaxyUnpacked, SamsungGalaxy",Samsung,veshali sector 2  sahibabad up,
1,1.31E+18,Tue Sep 15 02:35:01 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @bhuvnesh_bagri: Samsung Electronics launches 'Galaxy Watch 3' titanium model on the 18th September. 🤩
Source : https://t.co/sGv3nV70nF…",Samsung Electronics launches 'Galaxy Watch titanium model th September Source,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,3,hwangmh01,FALSE,,bhuvnesh_bagri,대구의 한 시골마을,
1,1.31E+18,Tue Sep 15 02:34:56 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Save more cherished moments freely! TOPESEL 64GB Micro SD card for your Phone #microsdcard #tfcard #samsung #Photos https://t.co/MWMxySYDx4,Save cherished moments freely TOPESEL GB Micro SD card Phone,"Sentiment(polarity=0.4, subjectivity=0.8)",0.4,0.8,en,0,0,TopeselT,FALSE,"microsdcard, tfcard, samsung, Photos",,,
1,1.31E+18,Tue Sep 15 02:34:01 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Samsung: Here comes the #GalaxyUnpacked event dedicated to the #SamsungGalaxy fans around the world https://t.co/TzDq26DXjJ https://t.c…,Here comes event dedicated fans around world,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,0,287,MahinderDass9,FALSE,"GalaxyUnpacked, SamsungGalaxy",Samsung,,
1,1.31E+18,Tue Sep 15 02:32:46 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Samsung Electronics launches 'Galaxy Watch 3' titanium model on the 18th September. 🤩
Source :… https://t.co/KV1prFVL69",Samsung Electronics launches 'Galaxy Watch titanium model th September Source,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,en,3,3,bhuvnesh_bagri,FALSE,,,"New Delhi, India",
1,1.31E+18,Tue Sep 15 02:32:24 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Poorvika_Mobile: Unlock Infinite Possibilities with the stunning Dynamic AMOLED 2X folding display on the #GalaxyZFold2.
.
Book Now: ht…",Unlock Infinite Possibilities stunning Dynamic AMOLED X folding display .. Book Now ht,"Sentiment(polarity=0.25, subjectivity=0.5833333333333334)",0.25,0.583333333,en,0,246,ZUBERKH72875824,,GalaxyZFold2,Poorvika_Mobile,,
1,1.31E+18,Tue Sep 15 02:32:11 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @heart_jinArmy: OMG!!!!! BTS Samsung ads is SUPERB!!! They unleash the other side of each artist. Jin, my man + JK...I so, so, love watc…",OMG BTS Samsung ads SUPERB They unleash side artist Jin man JK ... I love watc,"Sentiment(polarity=0.75, subjectivity=0.8)",0.75,0.8,en,0,4,SandEunNgo,,,heart_jinArmy,jin's heart is my humble home ,
1,1.31E+18,Tue Sep 15 02:28:42 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oh also @LoopyCases is a brand you can trust. I’ve been getting their cases since their first Kickstarter. They sta… https://t.co/QbnrLTgNWx,Oh also brand trust Ive getting cases since first Kickstarter They sta,"Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.333333333,en,0,0,UncleIroh613,,,LoopyCases,,
1,1.31E+18,Tue Sep 15 02:27:43 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @SamsungIndia: The shape of the future changes now. This is the new #GalaxyZFold2 5G. Pre-order starts today at 12 noon. Register here:…,The shape future changes This new G. Pre-order starts today noon Register,"Sentiment(polarity=0.06818181818181818, subjectivity=0.2897727272727273)",0.068181818,0.289772727,en,0,502,morihanrazaqad1,FALSE,GalaxyZFold2,SamsungIndia,"Kannauj, India",
1,1.31E+18,Tue Sep 15 02:25:50 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Poorvika_Mobile: Unlock Infinite Possibilities with the stunning Dynamic AMOLED 2X folding display on the #GalaxyZFold2.
.
Book Now: ht…",Unlock Infinite Possibilities stunning Dynamic AMOLED X folding display .. Book Now ht,"Sentiment(polarity=0.25, subjectivity=0.5833333333333334)",0.25,0.583333333,en,0,246,Ajithku36359562,,GalaxyZFold2,Poorvika_Mobile,,
1,1.31E+18,Tue Sep 15 02:25:36 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Samsung Galaxy Tab Active 3 (SM-T570) Received the FCC Certification 🥀
#Samsung #SamsungGalaxyTabActive3… https://t.co/dycICsHsGW",Samsung Galaxy Tab Active SM-T570 Received FCC Certification,"Sentiment(polarity=-0.13333333333333333, subjectivity=0.6)",-0.133333333,0.6,en,0,0,BestTecher1,FALSE,"Samsung, SamsungGalaxyTabActive3",,"Digha, India",
1,1.31E+18,Tue Sep 15 02:24:29 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Samsung Galaxy Buds Live review - Unique design with perfect fit, finally! https://t.co/l7iLAWYsiE #gogitech… https://t.co/zyPz1ebutG",Samsung Galaxy Buds Live review Unique design perfect fit finally,"Sentiment(polarity=0.3822727272727272, subjectivity=0.78)",0.382272727,0.78,en,0,0,IAMRAJNISHKUMAR,FALSE,gogitech,,"Patna, India",
